Dimensions,4
Normalised,20
evals,41000
key,dist,emissions,time,vehicles,dist,Actualemissions,ActualTime,ActualVehicles,ActualDistMicroDepot: Micro Depot 1,MicroDepot: Micro Depot 2,MicroDepot: Micro Depot 3,MicroDepot: Micro Depot 4,MicroDepot: Micro Depot 5,MicroDepot: Micro Depot 6,MicroDepot: Micro Depot 7,MicroDepot: Micro Depot 8,MicroDepot: Micro Depot 9,MicroDepot: Micro Depot 10,MicroDepot: Micro Depot 11,MicroDepot: Micro Depot 12,MicroDepot: Micro Depot 13,MicroDepot: Micro Depot 14,bike,walk,electric van,
19:17:9:11,1191.63,19,17,9,11,113.74,26.58,5.00,42.89,0,2,0,1,0,1,1,0,0,0,0,1,0,0,2,3,1,
20:19:9:10,1098.86,20,19,9,10,119.54,27.93,5.00,42.53,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,4,
19:17:9:10,1188.88,19,17,9,10,113.12,26.43,5.00,42.54,1,0,0,0,0,1,0,1,0,0,0,0,1,0,2,2,0,
20:19:9:11,1149.51,20,19,9,11,119.22,27.86,5.00,42.76,0,1,1,0,0,0,0,3,1,0,0,0,0,0,1,4,1,
20:19:9:14,1157.01,20,19,9,14,119.43,27.90,5.00,44.20,0,1,0,1,0,1,0,0,0,0,0,0,1,1,2,3,0,
20:19:9:15,1160.30,20,19,9,15,119.83,28.00,5.00,44.73,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,3,0,
20:19:9:12,1102.06,20,19,9,12,119.47,27.91,5.00,43.20,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,4,
20:19:9:13,1154.99,20,19,9,13,119.13,27.83,5.00,43.89,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,3,1,
20:19:9:18,1267.83,20,19,9,18,119.81,27.99,5.00,46.24,0,1,0,0,0,1,0,0,0,0,0,0,0,3,3,2,0,
19:17:9:19,1259.66,19,17,9,19,113.98,26.63,5.00,46.42,0,1,0,0,0,1,0,0,0,0,1,0,1,0,3,1,0,
17:14:4:18,2418.66,17,14,4,18,103.57,24.20,3.00,45.98,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,0,1,
19:17:9:18,1256.79,19,17,9,18,113.49,26.52,5.00,46.00,0,1,0,0,1,0,0,0,1,0,1,0,1,0,3,0,2,
20:19:9:19,1268.12,20,19,9,19,119.32,27.88,5.00,46.45,1,0,0,0,0,0,0,0,1,0,1,1,1,0,4,0,1,
20:19:9:16,1164.12,20,19,9,16,120.22,28.09,5.00,45.37,0,0,1,0,1,1,0,0,0,0,0,0,0,1,2,2,0,
19:17:9:17,1817.81,19,17,9,17,112.92,26.38,5.00,45.52,0,2,0,0,0,0,1,0,0,0,1,0,0,1,0,4,1,
